
ans = 

  <a href="matlab:helpPopup('datetime')" style="font-weight:bold">datetime</a>

   16-Mar-2025 18:28:33 +0000

[16-Mar-2025 18:28:37] Checking for availability of parallel pool...
[16-Mar-2025 18:28:37] Starting Simulink on parallel workers...
[16-Mar-2025 18:28:38] Configuring simulation cache folder on parallel workers...
[16-Mar-2025 18:28:38] Loading model on parallel workers...
[16-Mar-2025 18:28:40] Running simulations...
[16-Mar-2025 18:32:44] Completed 1 of 191 simulation runs. Run 3 has errors.
[16-Mar-2025 18:33:06] Completed 2 of 191 simulation runs. Run 4 has errors.
[16-Mar-2025 18:33:16] Completed 3 of 191 simulation runs. Run 2 has errors.
[16-Mar-2025 18:33:25] Completed 4 of 191 simulation runs. Run 5 has errors.
[16-Mar-2025 18:35:30] Completed 5 of 191 simulation runs
[16-Mar-2025 18:35:32] Completed 6 of 191 simulation runs
[16-Mar-2025 18:35:35] Completed 7 of 191 simulation runs
[16-Mar-2025 18:35:51] Completed 8 of 191 simulation runs
[16-Mar-2025 18:36:39] Completed 9 of 191 simulation runs
[16-Mar-2025 18:36:51] Completed 10 of 191 simulation runs
[16-Mar-2025 18:36:57] Completed 11 of 191 simulation runs
[16-Mar-2025 18:37:07] Completed 12 of 191 simulation runs
[16-Mar-2025 18:37:10] Completed 13 of 191 simulation runs
[16-Mar-2025 18:37:18] Completed 14 of 191 simulation runs
[16-Mar-2025 18:39:13] Completed 15 of 191 simulation runs
[16-Mar-2025 18:39:14] Completed 16 of 191 simulation runs
[16-Mar-2025 18:39:28] Completed 17 of 191 simulation runs
[16-Mar-2025 18:39:43] Completed 18 of 191 simulation runs
[16-Mar-2025 18:40:26] Completed 19 of 191 simulation runs
[16-Mar-2025 18:40:40] Completed 20 of 191 simulation runs
[16-Mar-2025 18:40:55] Completed 21 of 191 simulation runs
[16-Mar-2025 18:41:11] Completed 22 of 191 simulation runs
[16-Mar-2025 18:41:16] Completed 23 of 191 simulation runs
[16-Mar-2025 18:41:23] Completed 24 of 191 simulation runs
[16-Mar-2025 18:43:07] Completed 25 of 191 simulation runs
[16-Mar-2025 18:43:10] Completed 26 of 191 simulation runs
[16-Mar-2025 18:43:34] Completed 27 of 191 simulation runs
[16-Mar-2025 18:44:16] Completed 28 of 191 simulation runs
[16-Mar-2025 18:44:41] Completed 29 of 191 simulation runs
[16-Mar-2025 18:44:46] Completed 30 of 191 simulation runs
[16-Mar-2025 18:45:35] Completed 31 of 191 simulation runs
[16-Mar-2025 18:52:35] Completed 32 of 191 simulation runs
[16-Mar-2025 18:54:04] Completed 33 of 191 simulation runs
[16-Mar-2025 18:55:47] Completed 34 of 191 simulation runs
[16-Mar-2025 18:58:38] Completed 35 of 191 simulation runs
[16-Mar-2025 19:01:28] Completed 36 of 191 simulation runs
[16-Mar-2025 19:02:26] Completed 37 of 191 simulation runs
[16-Mar-2025 19:05:32] Completed 38 of 191 simulation runs
[16-Mar-2025 19:07:12] Completed 39 of 191 simulation runs
[16-Mar-2025 19:07:24] Completed 40 of 191 simulation runs
[16-Mar-2025 19:10:57] Completed 41 of 191 simulation runs
[16-Mar-2025 19:12:07] Completed 42 of 191 simulation runs
[16-Mar-2025 19:12:54] Completed 43 of 191 simulation runs
[16-Mar-2025 19:14:50] Completed 44 of 191 simulation runs. Run 52 has errors.
